"week","General Message Type","SMS Message Topic","General Message Type","SMS Message Topic","General Message Type","SMS Message Topic","text","Charac count (max 140)","hiv","Charac count (max 140)","Source/Notes","Source/Notes"
24,"Health Indicator","Malnutrition/LBW",,,"Health Indicator","Malnutrition/LBW","MAMA wants you to be healthy!
Eating well will help prevent problems in pregnancy. Make sure you eat meat or beans and fruit or vegetables in each meal.",152,,,"Seumo, E.F. and Abdallah F. Nutritional Counseling for Pregnant Women in Tanzania. USAID, ACCESS.
Black R.E.  et al. Maternal and child undernutrition: global and regional exposures and health consequences.Lancet 2008; 371: 243-60 doi: 10.1016/S0140-6736(07)61690-0 pmid:18207566
Victora CG et.al. Worldwide timing of growth faltering: Revisiting implications for interventions.
Pediatrics 2010; 125:e473-e480.
Kramer MS. Determinants of low birth weight: methodological assessment and meta-analysis. Bull World Health Organ 1987; 65: 663–737
Kramer MS, Victora C. Low birth weight and perinatal mortality. In: Semba RD, Bloem MW, eds. Nutrition and health in developing countries. Humana Press, 2001
WHO. 2011. Background Paper 2 - A Review of health interventions with an effect on nutrition
pdf, 1.51Mb
Langiano, E. 2011. Food safety at home: knowledge and practices of consumers. Journal of Public Health: 1-11.
Blössner and de Onis,2005. “Malnutrition - Quantifying the health impact at national and local levels”, Environmental Burden of Disease Series, No. 12.
UNICEF (2008). Progress for Children - A Report Card on Maternal Mortality.
",
25,"Fetal Development","25 week update",,,"Fetal Development","25 week update","Hello! Baby kicking? Try tickling her when she kicks. She can feel your touch now. Spend time getting used to how and when she moves.
Visit askmama.mobi",152,,,"http://www.babycentre.co.uk/",
25,"Health Indicator","Male involvement",,"HIV testing","Health Indicator","Male involvement","Hi hope you're well. Going for a checkup? Why not take your partner? Bringing him will give him the chance to ask any questions he may have. Ask him today.
MAMA",160,"Good morning. If you're HIV+ and haven't told your partner, you could ask him to come test with you. Then you'll get your results together
Keep strong from MAMA",160,"South Africa Male Involvement Antenatal Couples Counselling is Feasible but Challenging OR Summary 58 (http://www.popcouncil.org/pdfs/frontiers/orsummaries/ors58.pdf)
Mullick S, Kunene B, Wanjiru M: Involving men in maternity care: health service delivery issues. Agenda Special Focus 2005.
Oral abstract: Use of Nutrition Corners to improve identification and nutritional status of HIV-infected infants and young children in Lesotho; Authors: Malijane Nyabela, Appolinaire Tiam, Tony Isavwa, Leopold Buhendwa Session Information: Family Focused HIV Prevention Amongst Children; December 6, 2011 (http://www.pedaids.org/Press-Room/Events/2011/ICASA-2011/6)
Peltzer et al.2011; Promoting male involvement to improve PMTCT uptake and reduce antenatal HIV infection: a cluster randomized controlled trial protocol. BMC Health. ","M2M interview"
26,"Parent Tip","Heartburn",,,"Parent Tip","Heartburn","A burning sensation at the top of your stomach is heartburn. Spicy and oily foods can make it worse. A glass of milk may help soothe it.
Visit askmama.mobi",156,,,"http://www.babycentre.co.uk/",
26,,"Folic acid/iron pills","Health Indicator","Dealing with HIV diagnosis",,"Folic acid/iron pills","Hello from MAMA. By taking the pills they gave you at the clinic every day, you're helping your baby to grow well. Please go back to the clinic if you run out.",159,"It can take time to get used to knowing you have HIV. You need to be strong before you tell people. It will be important to tell someone.
MAMA wishes you well",158,"Department of Health Republic of South Africa. 2007. Guidelines for Maternity Care in South Africa","m2m interview"
27,"Fetal Development","27 week update",,,"Fetal Development","27 week update","Good day to you. Some experts believe that babies begin to dream at this stage in pregnancy. Perhaps he's dreaming about being born!
Visit askmama.mobi",151,,,"http://www.babycentre.co.uk/",
27,"Health Indicator","Respect/rights",,,"Health Indicator","Respect/rights","Suggestion from MAMA:
You have the right to be treated with respect at the clinic. If you're unhappy, make a complaint. There is an official way  - ask how.",156,,,"Agnes Odiambo interview, though we simplified a lot",
28,"Parent Tip","Take a break",,,"Parent Tip","Take a break","MAMA wants you to keep well. You may feel very tired now. Take a break in the morning and afternoon; ask family members to help you.
Visit askmama.mobi",151,,,"CKS. 2008. Clinical topic: Nausea and vomiting in pregnancy - management. NHS Clinical Knowledge Summaries. www.cks.nhs.uk [Accessed May 2011]
Murray I, Hassall J. 2009. Change and adaptation in pregnancy. In: Fraser DM, Cooper MA. eds. Myles Textbook for Midwives. 15th ed. Edinburgh: Churchill Livingstone, 189-225
NHS. 2011. Common pregnancy health problems: Sleeplessness. NHS pregnancy care planner. www.nhs.uk [Accessed April 2011]
Williams MA, Miller RS, Qiu C et al. 2010. Associations of early pregnancy sleep duration with trimester-specific blood pressures and hypertensive disorders in pregnancy. SLEEP 33(10):1363-71
B. Simkhada et al 2010. ‘The Role of Mothers-in-Law in Antenatal Care Decision-making in Nepal: a qualitative study’, BMC Pregnancy and Childbirth 10:34
",
28,"Health Indicator","Birth prep-Saving for transport",,,"Health Indicator","Birth prep-Saving for transport","Good morning. It's time to decide where you're going to give birth (or ask someone where),  and start saving for transport. You can't rely on an ambulance.
MAMA",160,,,"Maternal and Neonatal Health Program. 2001. Birth preparedness and complication readiness: A matrix of shared responsibilities. USAID.
Lang, J. B. and Elkin, E. D. (1997), A Study of the Beliefs and Birthing Practices of Traditional Midwives in Rural Guatemala. Journal of Midwifery & Women’s Health, 42: 25–31.
Goldie SJ, Sweet S, 2010. Alternative Strategies to Reduce Maternal Mortality in India: A Cost-Effectiveness Analysis. PLoS Med 7(4): e1000264.
Mathai, M. (2011), To ensure maternal mortality is reduced, quality of care needs to be monitored and improved alongside increasing skilled delivery coverage rates. BJOG: An International Journal of Obstetrics & Gynaecology, 118: 12–14.
Chuku, S.N. 2008. Low Birth Weight in Nigeria: Does Antenatal Care Matter?Institute of Social Studies, The Hague, The Netherlands.
Maternal and Neonatal Health Program. 2001. Birth preparedness and complication readiness: A matrix of shared responsibilities. USAID.
Khan KS, Wojdyla D, Say L, Gulmezoglu AM, Van Look PF (2006). 'WHO analysis of causes of maternal death: a systematic review', Lancet, 367: 1066–74.
Blencowe et al (2011). 'Clean Birth and Postnatal Care Practices to reduce neonatal deaths from sepsis and Tetanus: A Systematic Review and Delphi  Estimation of Mortality Effect', BMC Public Health, 11 (3).
",
29,"Parent tip","Walking",,,"Parent tip","Walking","If you have a job, you have a right to 4 months maternity leave. You shouldn't work for 6 weeks after the birth, unless a doctor says it's OK
Visit askmama.mobi",160,"If you're HIV+ you should be on FDC (a once-daily ARV pill), or other ARVs. Please remember to take the pills with you when you go to the clinic to give birth!",159,"http://www.babycentre.co.uk/","2013 SA PMTCT protocol for new regimen(s)"
29,,"Rights",,,,"Rights","Hello, please remember: It's your right to ask questions at the clinic. Tell the nurse if something is worrying you.
MAMA wishes you a happy, healthy day.",154,,159,"Came out in M2M interviews, Agnes Odhiambo interview",
30,"Parent Tip","Male involvement","Health Indicator","Birth prep","Parent Tip","Male involvement","Start thinking about the birth and what you might need, and speak to your partner or a friend so they can think about how they will help you.
Visit askmama.mobi",160,,,"WHO, PMNCH, Aga Khan University. 2011. 'Essential Interventions, Commodities and Guidelines for Reproductive, Maternal, Newborn and Child Health: A global review of the key interventions related to reproductive, maternal, newborn and child Health. WHO: Geneva.","M2M interview"
30,"Health Indicator","Birth prep",,,"Health Indicator","Birth prep","Hope you're well today! Having someone with you when you give birth can be very helpful. Ask at the clinic if this is allowed. If not, speak to the matron.
MAMA",160,,,"Sue Fawcus interview. Also FGDs identified anxieties around birth",
31,"Parent Tip","Hospital bag",,,"Parent Tip","Hospital bag","Think about what to take with you when you give birth. You may need things like sanitary pads, pyjamas, toiletries and clothes for the baby.
Visit askmama.mobi",159,,,"Need for this SMS based on FGDs",
31,"Parent tip","Violence",,,"Parent tip","Violence","Please remember: It's not OK if your partner or anyone hits or yells at you. You have the right to seek help. Call 0800 150 150. It's a 24-hour helpline.
MAMA",158,,,,
32,,"ANC",,,,"ANC","If you tested HIV-negative during your pregnancy, please continue to use condoms & have another HIV test at 32 weeks & after birth.
Visit askmama.mobi",150,"It's so important for an HIV+ person to tell others about their HIV, especially someone at home. It will help you to stick to the treatment.
Visit askmama.mobi",159,"Department of Health Republic of South Africa. 2007. Guidelines for Maternity Care in South Africa","Comments on Norad SMSs from KZN DoH meeting"
32,,"Birth prep-thinking of transport","Health Indicator","Birth prep",,"Birth prep-thinking of transport","It’s safer to give birth in the clinic. You will get help and support there. Start thinking of how you will get there when it's time
MAMA wishes you a happy day",160,"Good morning!
Did you know? Giving birth at the clinic will lower your baby's risk of getting HIV. Start thinking about how you will get to the clinic now.",155,"Maternal and Neonatal Health Program. 2001. Birth preparedness and complication readiness: A matrix of shared responsibilities. USAID.
Lang, J. B. and Elkin, E. D. (1997), A Study of the Beliefs and Birthing Practices of Traditional Midwives in Rural Guatemala. Journal of Midwifery & Women’s Health, 42: 25–31.
Goldie SJ, Sweet S, 2010. Alternative Strategies to Reduce Maternal Mortality in India: A Cost-Effectiveness Analysis. PLoS Med 7(4): e1000264.
Mathai, M. (2011), To ensure maternal mortality is reduced, quality of care needs to be monitored and improved alongside increasing skilled delivery coverage rates. BJOG: An International Journal of Obstetrics & Gynaecology, 118: 12–14.
Chuku, S.N. 2008. Low Birth Weight in Nigeria: Does Antenatal Care Matter?Institute of Social Studies, The Hague, The Netherlands.
Maternal and Neonatal Health Program. 2001. Birth preparedness and complication readiness: A matrix of shared responsibilities. USAID.
Khan KS, Wojdyla D, Say L, Gulmezoglu AM, Van Look PF (2006). 'WHO analysis of causes of maternal death: a systematic review', Lancet, 367: 1066–74.
Blencowe et al (2011). 'Clean Birth and Postnatal Care Practices to reduce neonatal deaths from sepsis and Tetanus: A Systematic Review and Delphi  Estimation of Mortality Effect', BMC Public Health, 11 (3). ","Department of Health Republic of South Africa. 2007. Guidelines for Maternity Care in South Africa
http://www.who.int/mediacentre/factsheets/fs290/en/
 http://www.who.int/making_pregnancy_safer/countries/soa.pdf
Who, 2008; http://www.who.int/mediacentre/factsheets/fs134/en/
USAID. Counselling cards for maternal and neonatal health for community health workers
"
33,"Fetal Development","33 week update",,,"Fetal Development","33 week update","Hi there. Your baby may settle head down now, the best position to be born. You may find it harder to walk now. It's time to slow down!
Visit askmama.mobi",154,,,"http://www.babycentre.co.uk/",
33,"Health Indicator","Signs of labour",,,"Health Indicator","Signs of labour","Hi! Did you know: If you feel a gush of water from your vagina go to the clinic right away. Your waters may have broken - it may soon be time to meet your baby!",160,,,"Department of Health Republic of South Africa. 2007. Guidelines for Maternity Care in South Africa.
Pan American Health Organsiation (WHO). 1999.Women and HIV/AIDS: Prevention and Care Strategies.
 Read JS, Newell ML, 2005. Efficacy and safety of cesarean delivery for prevention of mother-to-child transmission of HIV-1 (Review)

Temmerman.M.  2003. 'Vaginal Disinfection for Preventing Mother to Child Transmission of HIV Infection'. WHO Reproductive Health Library.
WHO. 2008. Recommendations on Prevention of Mother-to-Child Transmission of HIV and the Mother-Baby Pack
",
34,"Parent Tip","Signs of baby getting into position",,,"Parent Tip","Signs of baby getting into position","Hello. Is your bump lower down, with lower back pain? And you're peeing more often? This means that baby is low down, in position to be born.
Visit askmama.mobi",160,"Good day. By taking the medications the clinic gave you correctly, you will make a big difference to your health and your baby's health.
Visit askmama.mobi",156,"http://www.babycentre.co.uk/",
34,"Health Indicator","PET",,,"Health Indicator","PET","Good day to you. Sudden swelling of hands, face and feet are signs of a problem. Tell your family, and ask them to take you to the clinic if they see this.",155,,,"http://www.babycentre.co.uk/",
35,"Fetal Development","35 week update",,,"Fetal Development","35 week update","Did you know? Your baby has fingernails! You may feel her arms and feet moving around. If her movements slow right down, tell the clinic.
Visit askmama.mobi",157,,,"http://www.babycentre.co.uk/",
35,"Health Indicator","Breastfeeding","Health Indicator","Breastfeeding + ART","Health Indicator","Breastfeeding","A tip from MAMA:
Breastmilk is the best food for your baby. It should be his very first food as soon as he's born. Your milk helps protect him from infections.",159,"A tip from MAMA:
Breastmilk will be the best for your baby, along with the right medication to protect him from getting HIV. The clinic can help with this.",155,"DoH, South Africa 2011. Breastfeeding: Frequently asked questions.
DoH. 2010. Clinical guidelines: Prevention of mother to child transmission.South African National AIDS Council""","DoH, South Africa 2011. Breastfeeding: Frequently asked questions.
DoH. 2010. Clinical guidelines: Prevention of mother to child transmission.South African National AIDS Council"""
36,"Parent Tip","4th clinic visit","Health Indicator","Last clinic visit","Parent Tip","4th clinic visit","It's near the end of your pregnancy. Going to the clinic now is important for you and your baby. The clinic will help you prepare for birth.
Visit askmama.mobi",159,"It's near the end of your pregnancy. Make another clinic visit. Ask what you need to do to protect your baby from HIV, so you can be prepared
Visit askmama.mobi",160,"Department of Health Republic of South Africa. 2007. Guidelines for Maternity Care in South Africa","Department of Health Republic of South Africa. 2007. Guidelines for Maternity Care in South Africa"
36,"Health Indicator","PPH",,,"Health Indicator","PPH","MAMA wants you to be ready for birth:
You will need plenty of sanitary pads for after the birth. You'll bleed like a heavy period at first, so be prepared.",155,,,"World Health Organization. 2010. WHO Technical Consultation on Postpartum and Postnatal Care.
World Health Organization. 2007. WHO Recommendations for the prevention of Postpartum Haemorraghing.
NICE. 2006. Routine postnatal care of women and their babies. National Institute for Health and Clinical Excellence, Clinical guideline, 37. London: NICE.
USAID/BASICS/ Ministry of Health, Louga, Senegal. (n.d.). Counseling Cards for Maternal and Neonatal Health.
""",
37,"Fetal Development","37 week update",,,"Fetal Development","37 week update","Hello. If you have a bad headache that lasts more than 3 hours, please go to the clinic so that they can make sure that everything is OK.
Visit askmama.mobi",156,,,"http://www.babycentre.co.uk/",
37,"Health Indicator","Birth prep-signs of labour",,,"Health Indicator","Birth prep-signs of labour","Regular, strong contractions are a sign of labour. If you feel them, go to the clinic so your baby can be born safely.
MAMA wishes you a happy, health day",154,,,"http://www.babycentre.co.uk/",
38,"Parent Tip","Birth prep",,,"Parent Tip","Birth prep","Ask at the clinic where you need to go for the birth. You need to know in advance so you don’t go to the wrong place in an emergency.
Visit askmama.mobi",153,,,"Sue Fawcus interview",
38,"Health Indicator","Signs of labour",,,"Health Indicator","Signs of labour","Good morning to you. If you get jelly-like stuff on your underwear, it's a ‘show’ and a sign that labour is near. It may be bloody.
Stay well, from MAMA",152,,,"http://www.babycentre.co.uk/",
39,"Parent tip","Relax",,,"Parent tip","Relax","It's natural to worry with the birth so close. Remember: your body is made to grow and give birth to babies. Relax and trust your body.
Visit askmama.mobi",155,,,"http://www.babycentre.co.uk/",
39,"Parent Tip","Birth prep",,,"Parent Tip","Birth prep","Good morning, many women are tired of pregnancy now. But avoid using any medication (tablets or traditional ones) to bring on labour. This could harm your baby.",160,,,"Sue Fawcus interview",
40,"Parent Tip","Labour guide",,,"Parent Tip","Labour guide","Keep this SMS as your labour guide!
Labour pains come and go so you'll rest in between. Here's 4 ways to help yourself in labour:
Keep walking
Lean forward (like over a chair),
Breathe out during contractions (sigh out slowly)
Use a hot water bottle on your back, or back massage.
Visit askmama.mobi",299,,,"http://www.babycentre.co.uk/",
40,"Health Indicator","Thermoregulation",,,"Health Indicator","Thermoregulation","A tip from MAMA:
Ask for your baby to be put onto your tummy as soon as he's born, with a blanket. This will help with bonding & will make breastfeeding easier.",160,,,"""World Health Organization. 2003. Kangaroo Mother Care: A Practical Guide.
MCHIP. 2008. Community-Based Care for Low Birth Weight Newborns: The Role of Community Skin-to-Skin Care. Washington, DC.,
National Neonatology Forum of India- WHO Collaborating Centre for Training and Research. 2005. Teaching Aids on Newborn Care. New Delhi.
USAID/BASICS/ Ministry of Health, Louga, Senegal. (n.d.). Counseling Cards for Maternal and Neonatal Health.""",
